"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-06-20 05:00:00",,,,,7
"2020-06-21 05:00:00",,,,,,,,,,,,,,,,,,,80
"2020-06-22 05:00:00",,,82,,,,,86,,85,,,89,,,82,,,,,85,84,,,71,78
"2020-06-23 05:00:00",,,,,,,,,,,81
"2020-06-24 05:00:00",,,,,,78
"2020-06-25 05:00:00",,,,,,,,,,,,,,,,,,,86,,,,,31
"2020-06-26 05:00:00",,60
"2020-07-01 05:00:00",,,,,,78
"2020-07-02 05:00:00",,,,,,,65
"2020-07-03 05:00:00",20,,,,,,,,,,,,,,,,,,,,,,,36
"2020-07-05 05:00:00",,,,,,,,,,,,,,,,,,,,,,,79
"2020-07-06 05:00:00",,,82,,,,,86,,85,,,86,,,84,,,,,81,83,,,73,74
"2020-07-07 05:00:00",,60,,,,,,,,,83,,,,,,,90
"2020-07-09 05:00:00",,,,,,,,,,,,,,,,,,,88
"2020-07-12 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,38
"2020-07-13 05:00:00",,,,,,,,,,,,,,,,,75,,,,,,81
"2020-07-14 05:00:00",,,,,,,,,,,85,,,,,,,,,,,,,,78
"2020-07-16 05:00:00",,,,,,79,66,,,,,,,,,,,,86
"2020-07-20 05:00:00",,,80,,,,,,,85,,,85,,,84,,92,,,80,88,,,74,79
"2020-07-21 05:00:00",,74,,,,,,86,,,84,,,,,,,,,,,,80
"2020-07-22 05:00:00",,,,,,83
"2020-07-23 05:00:00",,,,,,,,,82,,,,,,,,,,88
"2020-07-26 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,57
"2020-07-27 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,,77
"2020-07-28 05:00:00",,,,,,,,,,,81
"2020-07-29 05:00:00",,,,,,,,,,,,,,,,,71,,,,,,79
"2020-07-30 05:00:00",,,,,,,65,,,,,,,,,,,,90
"2020-07-31 05:00:00",,,,,,85,,,,,,,,,,,,,,,,,,69
"2020-08-02 05:00:00",41,,,,,,,,82
"2020-08-03 05:00:00",,,,,,,,,,83,,,84,,,83,,88,,,81,84,,,75,76
"2020-08-04 05:00:00",,79,81,,,,,89
"2020-08-05 05:00:00",,,,,,,,,81
"2020-08-06 05:00:00",,,,,,,,,,,,,,,,,,,89
"2020-08-07 05:00:00",,,,,,84,,,,,,,,,,,,,,,,,,65
"2020-08-10 05:00:00",,,,,,,,,,,,,,,,,71,,,,,,,,81
"2020-08-11 05:00:00",,,,,,,,,,,,,,,,,,,,,,,77
"2020-08-12 05:00:00",,,,,,81,,,,,,,,,,,,,,,,,,75
"2020-08-13 05:00:00",,,,,,,66
